bus_factror,repo
1,alexreisner/geocoder
1,atom/atom-shell
1,bjorn/tiled
1,bumptech/glide
1,celery/celery
1,celluloid/celluloid
1,dropwizard/dropwizard
1,dropwizard/metrics
1,erikhuda/thor
1,Eugeny/ajenti
1,getsentry/sentry
1,github/android
1,gruntjs/grunt
1,janl/mustache.js
1,jrburke/requirejs
1,justinfrench/formtastic
1,kivy/kivy
1,koush/ion
1,kriswallsmith/assetic
1,Leaflet/Leaflet
1,less/less.js
1,mailpile/Mailpile
1,mbostock/d3
1,mitchellh/vagrant
1,mitsuhiko/flask
1,mongoid/mongoid
1,nate-parrott/Flashlight
1,nicolasgramlich/AndEngine
1,paulasmuth/fnordmetric
1,phacility/phabricator
1,powerline/powerline
1,puphpet/puphpet
1,ratchetphp/Ratchet
1,ReactiveX/RxJava
1,sandstormio/capnproto
1,sass/sass
1,sebastianbergmann/phpunit
1,sferik/twitter
1,silexphp/Silex
1,sstephenson/sprockets
1,substack/node-browserify
1,thoughtbot/factory_girl
1,thoughtbot/paperclip
1,wp-cli/wp-cli
2,activeadmin/activeadmin
2,ajaxorg/ace
2,ansible/ansible
2,apache/cassandra
2,bup/bup
2,clojure/clojure
2,composer/composer
2,cucumber/cucumber
2,driftyco/ionic
2,drupal/drupal
2,elasticsearch/elasticsearch
2,elasticsearch/logstash
2,excilys/androidannotations
2,facebook/osquery
2,facebook/presto
2,FriendsOfPHP/PHP-CS-Fixer
2,github/linguist
2,Itseez/opencv
2,jadejs/jade
2,jashkenas/backbone
2,JohnLangford/vowpal_wabbit
2,jquery/jquery-ui
2,libgdx/libgdx
2,meskyanichi/backup
2,netty/netty
2,omab/django-social-auth
2,openframeworks/openFrameworks
2,plataformatec/devise
2,prawnpdf/prawn
2,pydata/pandas
2,Respect/Validation
2,sampsyo/beets
2,SFTtech/openage
2,sparklemotion/nokogiri
2,strongloop/express
2,thinkaurelius/titan
2,ThinkUpLLC/ThinkUp
2,thumbor/thumbor
2,xetorthio/jedis
2,bbatsov/rubocop
3,bitcoin/bitcoin
3,bundler/bundler
3,divio/django-cms
3,haml/haml
3,jnicklas/capybara
3,mozilla/pdf.js
3,rg3/youtube-dl
3,mrdoob/three.js
3,springprojects/spring-framework
3,yiisoft/yii2
4,boto/boto
4,BVLC/caffe
4,codemirror/CodeMirror
4,gradle/gradle
4,ipython/ipython
4,jekyll/jekyll
4,jquery/jquery
5,iojs/io.js
5,meteor/meteor
5,ruby/ruby
5,WordPress/WordPress
6,chef/chef
6,cocos2d/cocos2d-x
6,diaspora/diaspora
6,emberjs/ember.js
6,resque/resque
6,Shopify/active_merchant
6,spotify/luigi
6,TryGhost/Ghost
7,django/django
7,joomla/joomla-cms
7,scikit-learn/scikit-learn
9,JetBrains/intellij-community
9,puppetlabs/puppet
9,rails/rails
11,saltstack/salt
11,Seldaek/monolog
11,v8/v8
12,git/git
12,webscalesql/webscalesql-5.6
13,fog/fog
14,odoo/odoo
18,php/php-src
19,android/platform_frameworks_base
19,moment/moment
23,fzaninotto/Faker
56,caskroom/homebrew-cask
130,torvalds/linux
250,Homebrew/homebrew
